,id,Venue,Locality,Sector,Venue Latitude,Venue Longitude,Local Latitude,Local Longitude,Distance
2862,53f31567498e5495b00fc3a8,sillichilli,Lokhandwala,West,19.142280559922252,72.8252232186075,19.1431889,72.824081,156.73961375578833
3290,4b0587d7f964a520e3a322e3,Uncle's Kitchen,Orlem,North,19.19409116227999,72.8375207548745,19.1944819,72.8389662,157.78792122803534
253,4dc777edcc3ff3b304696c5a,Pratap Lunch Home,Hutatma Chowk,South,18.933605218629197,72.83285417004964,18.933307,72.831377,158.7666404475467
3315,4f27dfffe4b0d4bbe51c6013,Jumboking Kandivali SV Road,Kandivli (West),North,19.199202980370575,72.84851232262031,19.2006415,72.84855340000001,159.9137714329399
742,4b3728eef964a520b83f25e3,Sarvi,Nagpada,South,18.96685250452282,72.82922116407411,18.9681782,72.82860090000001,161.09505205449673
2327,53103939498e30684255e7b5,Shalimar Restaurant,Saki Naka,East,19.107005447312897,72.88442193533446,19.1082208,72.88358240000001,161.27993491322326
2465,4fe7292be4b0e1967f08a489,Mia Cucina,Powai,East,19.12016998507553,72.90721688676344,19.1187195,72.9073476,161.76854560072007
534,4cadfb612303a143ac0febf0,Cafe Coffee Day,Girgaon,South,18.95403097099501,72.81639479413897,18.9543165,72.8179082,162.19246100005816
1490,4ca76aa814c337041057c93b,Hanuman Veg Restaurant,Sion East,West,19.042051128977292,72.86403541978305,19.0428153,72.8653563,162.6741935252192
516,4b0587d6f964a520b1a322e3,Golden Star Thali,Girgaon,South,18.952892141007037,72.81754087807279,18.9543165,72.8179082,162.92206592444313
2735,4ddc7ec0887775ea9c43256e,Cafe Ambrosia,NITIE,East,19.135795286954828,72.89850176698741,19.1349868,72.8997985,163.11116088528456
120,4f166bab4fc64b8695623130,Café at the NCPA,Nariman Point,South,18.92525684284292,72.81957843982663,18.9253433,72.8180282,163.24098637681462
2469,58023efe38fae0179aee6987,Madeira & Mime,Powai,East,19.12018466956368,72.90712780552872,19.1187195,72.9073476,164.44447063668002
2934,4c36dbe5ae2da593f8e3fdc5,5 Spice,Oshiwara,West,19.15129642862268,72.83311018754928,19.1502437,72.83422940000001,165.79871176658384
2731,50fe1085e4b007245d6f3371,Skky,NITIE,East,19.135840640413694,72.8984938458943,19.1349868,72.8997985,166.62341983163572
3161,4f5a3ff2e4b00c49e4194873,Shanghai,Dindoshi,North,19.175525804734733,72.86951630735423,19.1740198,72.86952190000001,167.35597650748915
1609,54435bbd498e142831ac4283,XVII Tea Room,Bandra (West),West,19.05952567663164,72.82924728335747,19.058335800000002,72.83026690000001,170.15469916456033
1411,4e4b7b4414958c3abfa80ab0,Thambi Veg Restaurant,Matunga,West,19.02591097501001,72.85031127165331,19.027435600000004,72.85014670000001,170.30396528639733
549,52013ebe498e67daea26395a,Mohd Ali Road,Mandvi,South,18.954751326725216,72.83319816783988,18.9550564,72.83479190000001,170.89644335981836
2685,4db431144b226b343d8819c5,Croissants,Versova,West,19.128704936412262,72.82131682435005,19.13025205,72.8213774957082,172.04113449094257
2401,4d958f4fb188721ec43ce136,Maharaja Restaurant,Andheri (East),West,19.116154809545993,72.85581626501495,19.1158835,72.854202,172.1541824917571
2528,4f9bf84be4b087d95d0c7247,Ganesh Palace Restaurant,MIDC,West,19.119313256630917,72.86359770759731,19.120511899999997,72.8646365,172.15657209217886
2253,54721eca498e5de66116b337,Krispy Kreme,Juhu,West,19.10579965436154,72.82651671800781,19.1070215,72.8275275,172.33794106648514
2466,4cd4388f558a3704a61ec6a6,Cafe Mangii,Powai,East,19.12026013177446,72.90705213863036,19.1187195,72.9073476,173.99078161251404
854,4cbb15634495721ecba1537a,Kalpana Restaurant,Mumbai Central,South,18.96869985561517,72.82068210151463,18.9695855,72.8193152,174.12856263921216
2900,4de85237ae60293318ee99c7,Madras Cafe,Bhandup West,East,19.145445744466855,72.93536107526741,19.1462636,72.93394609999999,174.139715822667
511,4d2affe3068e8cfaa2b9de4c,Domino's Pizza,Girgaon,South,18.953,72.817,18.9543165,72.8179082,174.6815576239043
2736,4e3e8dd28877b00cfc55a8e9,Mumbai Express,NITIE,East,19.13426726441314,72.90128392827712,19.1349868,72.8997985,175.25209950105116
1962,4f8185b0e4b0cd6f62b5fd49,Asha Parekh Vada Pav Wala,Tagore Road,West,19.082766800156396,72.8377151824608,19.0821047,72.836199,175.4047320307854
2251,5419c5ed498e14e7513669c3,The Spare Kitchen,Juhu,West,19.10706452945956,72.82585664739476,19.1070215,72.8275275,175.50982598755812
2737,4ec8c04330f8b09c0d837cca,Fusion,NITIE,East,19.13433588149521,72.90132478705748,19.1349868,72.8997985,175.80773109583012
2733,4de7bc7552b19568bd83b413,Emperor's Court,NITIE,East,19.134304052224667,72.90132750199295,19.1349868,72.8997985,177.54996772886304
2336,57fd0453498e5feae26c5507,Amar Juice & Restaurant,Saki Naka,East,19.107362,72.882146,19.1082208,72.88358240000001,178.48277756390763
2732,4c19b014d4d9c928e96ff129,Nawab Saheb,NITIE,East,19.13428712086937,72.90133063658517,19.1349868,72.8997985,178.65831733035816
2921,52becf06498e70ad6413bceb,Bru World Cafe,Oshiwara,West,19.15104866766351,72.83570650463186,19.1502437,72.83422940000001,179.01163206693812
2104,52cfd7d7498e14a70bcd1e39,Café Coffee Day,Vile Parle (East),West,19.097798720134662,72.84898336522087,19.0962884,72.84837990000001,179.39932194266677
2734,4d61df151939a35d8a7432ee,Lakeview Cafe,NITIE,East,19.13428326706376,72.90133861333948,19.1349868,72.8997985,179.59867575872866
1421,55afca1d498e1605acb160a5,The Bogeto Cafe,Matunga,West,19.025830554577844,72.85036228259844,19.027435600000004,72.85014670000001,179.79298726110966
3266,4d349dc48250f04df30f07e1,Goan Cart,Orlem,North,19.196091370539428,72.83877105584176,19.1944819,72.8389662,180.02131171974534
71,4b0587d5f964a5207ca322e3,Café Churchill,Henry Road,South,18.92016731503621,72.83013614126953,18.9203617,72.8318368,180.07540347596583
3159,4b3f6297f964a5203aa625e3,Classic Restaurant,Dindoshi,North,19.175635684501987,72.86938977267151,19.1740198,72.86952190000001,180.10007805227605
2337,51ed0263498ee975634b0137,Mahalaxmi Garden Next,Saki Naka,East,19.109844325659097,72.88376545637493,19.1082208,72.88358240000001,181.4354944896795
1385,4b0587d9f964a52021a422e3,Ram Ashraya,Matunga,West,19.02809204657728,72.85172889717309,19.027435600000004,72.85014670000001,181.518078352145
2305,4dbd1255a86e0e98a1f376d4,Mahesh Lunch Home,Saki Naka,East,19.106865558109074,72.88454924140912,19.1082208,72.88358240000001,181.62406921053858
1910,4ec36e03f5b9f024dfb8b075,Durga Prasad,Rajawadi,East,19.077019980851233,72.90114020155328,19.0782013,72.90235517639476,183.06931373371734
1821,4c9b0bee78ffa09372ae7175,Nityanand Veg Restaurant,Vidya Nagari,West,19.071679855023486,72.86451746778434,19.0723479,72.86291870000001,183.58975187632328
2902,4dc0398d4b2221ec2d6c019d,Kamal Vihar,Bhandup West,East,19.144833188637858,72.9348246996008,19.1462636,72.93394609999999,183.7762628383615
1829,4bd8477bdc4b9521d5b87888,China Garden,Khar,West,19.072592995911474,72.83195266602313,19.072457500000002,72.8337068,184.84216738055676
1320,504e4d8ad86c8770f9eae4ad,Worli Koliwada Fish Market,Worli Koliwada,South,19.01950194326962,72.81821966171265,19.021102399999997,72.81772070000001,185.41522333430873
3544,4ce8a0f7f3bda143b827bbe4,Aashirwad Hotel,Mount Poinsur,North,19.244810689889057,72.85221140427385,19.2432246,72.8527611,185.44987035513947
2329,53311430498e48ef118d6c82,Cafe Coffee Day,Saki Naka,East,19.107419510424467,72.88201835321419,19.1082208,72.88358240000001,186.8150935969156
1808,4dccee4be4cd130e16411d83,Potoba Restaurant,Vidya Nagari,West,19.072893725347228,72.86123549282783,19.0723479,72.86291870000001,186.89495717609927
3267,4eec541b7ee5f453870d0d60,Garden Court,Orlem,North,19.193474709237773,72.8404098302089,19.1944819,72.8389662,188.3640708279164
1828,4e2d9d9cb61cd010838bbada,Spaghetti Kitchen,Khar,West,19.072907134565693,72.83196346638549,19.072457500000002,72.8337068,189.78873745855802
793,4b0587cff964a520ada222e3,Under The Banyan Tree,Cumballa Hill,South,18.969327625799465,72.80834388271732,18.9693073,72.8065375,189.84659072247177
1558,4d2898fd77a2a1cdaddc63b7,Hotel Saroj,Chembur West,East,19.056396342541625,72.89774103749866,19.0571098,72.8993875,190.243816423901
539,4e358e0cae60d86c3ac0b9ec,Golden Wheel Restaurant,Girgaon,South,18.954636338283198,72.81968962250649,18.9543165,72.8179082,190.57043627091429
2594,4fa23efae4b01dcd6a24e6bf,Moti Mahal,Cama Road,West,19.120505517368663,72.8456773933621,19.120651300000002,72.8438656,190.91688321096984
1954,4b0587d6f964a520a3a322e3,Yoko's,Tagore Road,West,19.08152253814692,72.83791135600347,19.0821047,72.836199,191.11256737121178
3162,4e5a67a6fa76d2b00c19fe7c,Classic Comfort,Dindoshi,North,19.175728471457752,72.86926823780149,19.1740198,72.86952190000001,191.73385223258305
2073,4d25d2c2b9796dcb9b27ac39,Pujari's Pav Bhaji,Barve Nagar,East,19.093563812199616,72.89985386738034,19.0952831,72.90017759999999,194.05697645588288
1721,4f83d61de4b03e850b6478c3,Anna Chi,Bandra (East),West,19.06040988786758,72.85110654855758,19.0616565,72.8498111,194.17497154253414
2312,4e89bb3e6da19b41c3dd36db,Domino's Pizza,Saki Naka,East,19.107072251054824,72.88218828427475,19.1082208,72.88358240000001,194.21360782554544
1909,4df8029162847bdf4feb29e3,Gebi Sagar,Rajawadi,East,19.078928396270797,72.90404097295121,19.0782013,72.90235517639476,194.61013649635282
3488,4ea90c0b61af654198981e26,Spring Fields,Borivali West,North,19.227724938413512,72.84839018311803,19.2294561,72.84799050000001,196.89351852999224
55,4b0587d5f964a52089a322e3,Shamiana,Henry Road,South,18.921919124664043,72.83274812674294,18.9203617,72.8318368,197.81394701054134
1998,4eef4ef9a69d8afe6d129076,Marrakesh,Sen Nagar,West,19.08209765639011,72.8417020901925,19.0828321,72.8434193,197.94752367626938
2504,504353e9e4b01555a6ed4e7c,CCD Delphi,Powai,East,19.118915726791315,72.90546638697658,19.1187195,72.9073476,198.71911285072392
1163,52cfac75498e745a993000b3,subway,Parel,South,19.009187471851344,72.83579336575116,19.0094817,72.8376614,198.96976634495525
